dataset,ratio,seed,auprc,auc,f1_macro,fraud_precision,fraud_recall,fraud_f1,g_mean
elliptic,20,42,0.5518351946843344,0.882367703393376,0.7656778547099461,0.5217013888888888,0.6611661166116611,0.5832120329936924,0.7860136194833094
elliptic,20,72,0.559407162186829,0.9007386177099387,0.7715143187434923,0.5965909090909091,0.5775577557755776,0.5869200670765791,0.7437477277682283
elliptic,30,2,0.61282014092661,0.9083200368466167,0.79616852035081,0.6251342642320086,0.6402640264026402,0.6326086956521739,0.783374266790617
elliptic,30,42,0.6207157801520927,0.902544344748611,0.807483879925925,0.647887323943662,0.6578657865786579,0.6528384279475983,0.795251382143211
elliptic,30,72,0.5825295085287374,0.9089335471505267,0.7675322372539295,0.5196950444726811,0.6749174917491749,0.5872218234027279,0.7933361484939239
elliptic,40,2,0.5987711368586648,0.9058685482422587,0.7842890755269729,0.5705521472392638,0.665016501650165,0.6141732283464567,0.793102716876294
elliptic,40,42,0.5458233521800816,0.870116151013007,0.7634231394252187,0.5330848089468779,0.6292629262926293,0.5771947527749748,0.7692527223814807
elliptic,40,72,0.5871163037901873,0.9066619849157692,0.7825694528339078,0.6152542372881356,0.599009900990099,0.6070234113712375,0.7581161941331662
tfinance,10,2,0.6605347342256583,0.8492099057625879,0.6606449287963145,0.2591277890466531,0.7077562326869806,0.3793615441722346,0.7993229324488047
tfinance,10,42,0.8329221250488795,0.942173524010061,0.8991043283892602,0.8701923076923077,0.7520775623268698,0.8068350668647846,0.8648826632831851
tfinance,10,72,0.8284478144392299,0.9442592466576342,0.8959995454976009,0.8969072164948454,0.7229916897506925,0.8006134969325154,0.8485892799728394
tfinance,20,2,0.8321064423185669,0.9479288552812764,0.8975267900273014,0.8877721943048577,0.7340720221606648,0.8036391205458681,0.8548670955814249
tfinance,20,42,0.8341913147993041,0.9438380911230279,0.8973445325167562,0.9119718309859155,0.7174515235457064,0.8031007751937984,0.845614192107449
tfinance,20,72,0.6935060413152919,0.9017031280860535,0.4882655051358731,0.0,0.0,0.0,0.0
tfinance,30,2,0.8349676440217897,0.9464495781621335,0.900515338508836,0.8745980707395499,0.7534626038781164,0.8095238095238095,0.8657656010013054
tfinance,30,42,0.8352667752230195,0.9442371630778775,0.8984816616553112,0.9153439153439153,0.7188365650969529,0.8052754072924748,0.8464865645562335
tfinance,30,72,0.7035630279128883,0.8990614893535016,0.4882655051358731,0.0,0.0,0.0,0.0
tfinance,40,2,0.8402608820155507,0.9487971687283232,0.9003685666584293,0.8929765886287625,0.739612188365651,0.8090909090909091,0.858173013715152
tfinance,40,42,0.83537081250564,0.943776681251972,0.8981928137616889,0.8505392912172574,0.7645429362880887,0.8052516411378556,0.8715536724448067
tfinance,40,72,0.719165921491312,0.9065720733355574,0.4882655051358731,0.0,0.0,0.0,0.0
tsocial,10,2,0.4288866318198343,0.9082744602344058,0.7150047783933913,0.4598096780724843,0.4343501960409295,0.4467174821735923,0.6538047465702226
tsocial,10,42,0.4229379285077505,0.9064425954760587,0.719935810919059,0.46150840171942165,0.4517548053935163,0.4565795196443242,0.6665979608738194
tsocial,10,72,0.41689673338386996,0.9048625517381457,0.7121073883600924,0.44734774066797645,0.4354977527015396,0.44134321849105973,0.654381066175553
tsocial,20,2,0.4395640475722885,0.9118861776742466,0.716147035402249,0.4488316642823081,0.4500334704026011,0.44943176391939643,0.6650582885386267
tsocial,20,42,0.4107083664035473,0.905558919334301,0.7117099156952988,0.46148194794290515,0.4204838863918906,0.44003002251688766,0.6434831121486739
tsocial,20,72,0.2938011027260017,0.8318332375819922,0.6727415408823876,0.44149594390210367,0.307067036434924,0.3622109419063734,0.5507806337432328
tsocial,30,2,0.4441404874539257,0.9130582893986989,0.7203562962536414,0.5513815162651422,0.3873960026776322,0.4550662772410694,0.6193548498066433
tsocial,30,42,0.41525205938258936,0.9047108451924354,0.7156185993863828,0.46285714285714286,0.4337764177106245,0.447845189317273,0.6534438071184789
tsocial,30,72,0.4189352928547793,0.9072934321336734,0.7139604987942292,0.5275757174976855,0.3814669599311466,0.44277944277944276,0.6143423387613494
tsocial,40,2,0.45860876510239507,0.916174537642809,0.7235923776997221,0.5742800114057599,0.38519651907812946,0.46110697727662986,0.6178814253902806
tsocial,40,42,0.42285230276968044,0.9077458303317707,0.7165577842043658,0.4482562547384382,0.45232858372382134,0.45028321195678045,0.666708629309575
tsocial,40,72,0.430483276250612,0.9098103912748536,0.7175690511717812,0.45793658584470404,0.44611265181218324,0.4519472970354582,0.6624121624532593
yelp,10,2,0.49365574796646994,0.8531943544766298,0.7052052169698226,0.4826862539349423,0.5166604268064395,0.49909584086799275,0.6841221507879496
yelp,10,42,0.4920956962671627,0.8457578756460793,0.7038949197817429,0.4791666666666667,0.5166604268064395,0.4972077103224644,0.6836172369065754
yelp,10,72,0.47983133230473723,0.8405543421765868,0.7014895964921308,0.4762569832402235,0.5106701609883939,0.4928635953026197,0.6796426844021327
yelp,20,2,0.5021142721201793,0.8537812015947639,0.7076636631030886,0.4506764374295378,0.5986521901909397,0.5142305836951279,0.7241460237066576
yelp,20,42,0.4932995027802876,0.8474122309505598,0.7040829316063715,0.4429678848283499,0.5990265818045676,0.5093108387712876,0.7227124992075161
yelp,20,72,0.4969232418674382,0.8507534574628239,0.7050012949267647,0.45021645021645024,0.5840509172594534,0.5084745762711864,0.716402966274886
yelp,30,2,0.4984452521313967,0.8529771449063783,0.7064591835943417,0.45022753128555176,0.592661924372894,0.5117181186358494,0.7209326413318874
yelp,30,42,0.49327387960935687,0.8485014243490762,0.7069644648471824,0.45809722636444977,0.5750655185323849,0.5099601593625498,0.7131327751139293
yelp,30,72,0.4915912195468239,0.8449816641999143,0.7045749257272487,0.44751066856330013,0.5889180082366156,0.5085677335919819,0.7184171694024393
yelp,40,2,0.5018247989401525,0.8550447464821166,0.7084360025873464,0.45233380480905233,0.5986521901909397,0.515307766677409,0.7244879680532126
yelp,40,42,0.4952371581394521,0.8499549293120467,0.7077865842778606,0.45549738219895286,0.5862972669412205,0.5126862006875103,0.7186366715695929
yelp,40,72,0.4909064407733384,0.8442809220580809,0.7002850477993032,0.4268261644184271,0.6278547360539124,0.5081818181818182,0.7333884558941818
