TRIAL_CONFIG | trial=11/12 | hidden=128 | bins=16 | lr=0.001
===== GAAP × YELPCHI — UNIFIED 2-EPOCH SMOKE =====
RATIO=TR40 | TRAIN_SEED=2 | SPLIT_SEED=2
AUTHOR_ARCHITECTURE_CHANGED=NO
TEST_USED_FOR_SELECTION=NO
MAX_EPOCHS=100 | PATIENCE=20
CANONICAL_NODES=45954
CANONICAL_FEATURES=32
RELATION_EDGE_ENTRIES=8051348
HOMOGENEOUS_WITH_SELF_LOOPS=8097302
SHARED_YELP_VIEW_GATE=PASS
EXACT_FROZEN_SPLIT_GATE=PASS
The shape of bin-encoded feature is torch.Size([45954, 32])
Processing dataset done!

GAAP_NATIVE_NORM_TYPE=norm01
GAAP_NATIVE_PREPROCESS=None
GAAP_AUTHOR_DATALOADER_GATE=PASS
TEST_LABELS_HIDDEN_DURING_FIT=PASS
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
trial=11/12 | TR40 seed=2 | epoch=049 | loss=0.091895 | valAUPRC=0.873254 | valAUROC=0.964996 | best=0.873254@49 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=050 | loss=0.113373 | valAUPRC=0.886642 | valAUROC=0.965337 | best=0.886642@50 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=051 | loss=0.081508 | valAUPRC=0.869296 | valAUROC=0.964578 | best=0.886642@50 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=052 | loss=0.078541 | valAUPRC=0.863553 | valAUROC=0.963368 | best=0.886642@50 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=053 | loss=0.072479 | valAUPRC=0.875748 | valAUROC=0.966360 | best=0.886642@50 | patience=3/20
trial=11/12 | TR40 seed=2 | epoch=054 | loss=0.072531 | valAUPRC=0.880470 | valAUROC=0.966228 | best=0.886642@50 | patience=4/20
trial=11/12 | TR40 seed=2 | epoch=055 | loss=0.066434 | valAUPRC=0.857089 | valAUROC=0.955430 | best=0.886642@50 | patience=5/20
trial=11/12 | TR40 seed=2 | epoch=056 | loss=0.067127 | valAUPRC=0.859753 | valAUROC=0.961239 | best=0.886642@50 | patience=6/20
trial=11/12 | TR40 seed=2 | epoch=057 | loss=0.067195 | valAUPRC=0.864927 | valAUROC=0.963530 | best=0.886642@50 | patience=7/20
trial=11/12 | TR40 seed=2 | epoch=058 | loss=0.062788 | valAUPRC=0.860847 | valAUROC=0.959996 | best=0.886642@50 | patience=8/20
trial=11/12 | TR40 seed=2 | epoch=059 | loss=0.062776 | valAUPRC=0.881776 | valAUROC=0.959557 | best=0.886642@50 | patience=9/20
