==============================================================================
GHRN | tfinance | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_tfinance_unified_tr40_seed42_t4_20260916T235426Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
Loaded tfinance: 39,357 nodes, 10 features, 1 relation(s)
Split: train 15,742 | valid 7,871 | test 15,744
Graph: 39,357 nodes, 42,484,443 stored directed edges (backend: dgl)
Training fraud/normal: 722/15,020 | fraud weight 20.8033
Parameters: 17,346 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch  75/100 | loss 0.259752 | train 0.370s | val AUPRC 0.829762 | val AUROC 0.962782 | thr 0.95 | best epoch 73
[stage1_unrefined] epoch  76/100 | loss 0.260331 | train 0.371s | val AUPRC 0.828459 | val AUROC 0.961956 | thr 0.94 | best epoch 73
[stage1_unrefined] epoch  77/100 | loss 0.260824 | train 0.373s | val AUPRC 0.829275 | val AUROC 0.962789 | thr 0.94 | best epoch 73
[stage1_unrefined] epoch  78/100 | loss 0.259401 | train 0.372s | val AUPRC 0.830887 | val AUROC 0.964354 | thr 0.96 | best epoch 73
[stage1_unrefined] epoch  79/100 | loss 0.258263 | train 0.374s | val AUPRC 0.832020 | val AUROC 0.965307 | thr 0.94 | best epoch 73
[stage1_unrefined] epoch  80/100 | loss 0.258437 | train 0.375s | val AUPRC 0.832108 | val AUROC 0.965268 | thr 0.94 | best epoch 73
[stage1_unrefined] epoch  81/100 | loss 0.257588 | train 0.375s | val AUPRC 0.832216 | val AUROC 0.964454 | thr 0.94 | best epoch 73
[stage1_unrefined] epoch  82/100 | loss 0.256120 | train 0.375s | val AUPRC 0.832053 | val AUROC 0.963377 | thr 0.95 | best epoch 73
[stage1_unrefined] epoch  83/100 | loss 0.255821 | train 0.377s | val AUPRC 0.832600 | val AUROC 0.963105 | thr 0.95 | best epoch 73
[stage1_unrefined] epoch  84/100 | loss 0.255576 | train 0.379s | val AUPRC 0.833720 | val AUROC 0.963843 | thr 0.95 | best epoch 84
[stage1_unrefined] epoch  85/100 | loss 0.254461 | train 0.378s | val AUPRC 0.834778 | val AUROC 0.964879 | thr 0.94 | best epoch 85
[stage1_unrefined] epoch  86/100 | loss 0.253783 | train 0.383s | val AUPRC 0.835424 | val AUROC 0.965506 | thr 0.96 | best epoch 86
[stage1_unrefined] epoch  87/100 | loss 0.253708 | train 0.379s | val AUPRC 0.836086 | val AUROC 0.965506 | thr 0.96 | best epoch 87
[stage1_unrefined] epoch  88/100 | loss 0.252995 | train 0.379s | val AUPRC 0.836477 | val AUROC 0.965015 | thr 0.95 | best epoch 88
[stage1_unrefined] epoch  89/100 | loss 0.252196 | train 0.378s | val AUPRC 0.836753 | val AUROC 0.964609 | thr 0.94 | best epoch 89
[stage1_unrefined] epoch  90/100 | loss 0.251966 | train 0.383s | val AUPRC 0.837243 | val AUROC 0.964779 | thr 0.95 | best epoch 90
[stage1_unrefined] epoch  91/100 | loss 0.251466 | train 0.384s | val AUPRC 0.837994 | val AUROC 0.965508 | thr 0.93 | best epoch 91
[stage1_unrefined] epoch  92/100 | loss 0.250636 | train 0.384s | val AUPRC 0.838480 | val AUROC 0.966206 | thr 0.96 | best epoch 92
[stage1_unrefined] epoch  93/100 | loss 0.250243 | train 0.385s | val AUPRC 0.838594 | val AUROC 0.966488 | thr 0.96 | best epoch 93
[stage1_unrefined] epoch  94/100 | loss 0.249890 | train 0.389s | val AUPRC 0.838511 | val AUROC 0.966246 | thr 0.96 | best epoch 93
