==============================================================================
GHRN | elliptic | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_elliptic_unified_tr40_seed42_a6000_20260913T194138Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded elliptic: 203,769 nodes, 166 features, 1 relation(s)
Split: train 18,626 | valid 9,313 | test 18,625
Graph: 203,769 nodes, 672,479 stored directed edges (backend: dgl)
Training fraud/normal: 1,669/16,957 | fraud weight 10.1600
Parameters: 27,330 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch   4/100 | loss 0.328319 | train 0.026s | val AUPRC 0.367011 | val AUROC 0.774386 | thr 0.98 | best epoch 2
[stage2_refined] epoch   5/100 | loss 0.328526 | train 0.026s | val AUPRC 0.344696 | val AUROC 0.773165 | thr 0.99 | best epoch 2
[stage2_refined] epoch   6/100 | loss 0.357729 | train 0.026s | val AUPRC 0.342549 | val AUROC 0.778803 | thr 0.99 | best epoch 2
[stage2_refined] epoch   7/100 | loss 0.353565 | train 0.026s | val AUPRC 0.358447 | val AUROC 0.790155 | thr 0.99 | best epoch 2
[stage2_refined] epoch   8/100 | loss 0.321079 | train 0.026s | val AUPRC 0.387598 | val AUROC 0.803307 | thr 0.98 | best epoch 2
[stage2_refined] epoch   9/100 | loss 0.284678 | train 0.026s | val AUPRC 0.419059 | val AUROC 0.811393 | thr 0.97 | best epoch 9
[stage2_refined] epoch  10/100 | loss 0.265505 | train 0.026s | val AUPRC 0.445026 | val AUROC 0.815391 | thr 0.95 | best epoch 10
[stage2_refined] epoch  11/100 | loss 0.263789 | train 0.026s | val AUPRC 0.468658 | val AUROC 0.819150 | thr 0.92 | best epoch 11
[stage2_refined] epoch  12/100 | loss 0.255715 | train 0.026s | val AUPRC 0.484657 | val AUROC 0.821701 | thr 0.93 | best epoch 12
[stage2_refined] epoch  13/100 | loss 0.235147 | train 0.026s | val AUPRC 0.493498 | val AUROC 0.823269 | thr 0.95 | best epoch 13
[stage2_refined] epoch  14/100 | loss 0.214824 | train 0.026s | val AUPRC 0.494214 | val AUROC 0.823558 | thr 0.96 | best epoch 14
[stage2_refined] epoch  15/100 | loss 0.202498 | train 0.026s | val AUPRC 0.497196 | val AUROC 0.823984 | thr 0.97 | best epoch 15
[stage2_refined] epoch  16/100 | loss 0.195843 | train 0.026s | val AUPRC 0.503203 | val AUROC 0.824724 | thr 0.97 | best epoch 16
[stage2_refined] epoch  17/100 | loss 0.190551 | train 0.026s | val AUPRC 0.512284 | val AUROC 0.825614 | thr 0.97 | best epoch 17
[stage2_refined] epoch  18/100 | loss 0.183603 | train 0.026s | val AUPRC 0.524741 | val AUROC 0.826561 | thr 0.96 | best epoch 18
[stage2_refined] epoch  19/100 | loss 0.174682 | train 0.026s | val AUPRC 0.539733 | val AUROC 0.827439 | thr 0.95 | best epoch 19
[stage2_refined] epoch  20/100 | loss 0.165865 | train 0.026s | val AUPRC 0.557830 | val AUROC 0.828243 | thr 0.94 | best epoch 20
[stage2_refined] epoch  21/100 | loss 0.159686 | train 0.026s | val AUPRC 0.574444 | val AUROC 0.829193 | thr 0.91 | best epoch 21
[stage2_refined] epoch  22/100 | loss 0.156033 | train 0.026s | val AUPRC 0.588496 | val AUROC 0.830603 | thr 0.91 | best epoch 22
[stage2_refined] epoch  23/100 | loss 0.151761 | train 0.026s | val AUPRC 0.598392 | val AUROC 0.832619 | thr 0.92 | best epoch 23
[stage2_refined] epoch  24/100 | loss 0.144702 | train 0.026s | val AUPRC 0.606071 | val AUROC 0.834995 | thr 0.95 | best epoch 24
[stage2_refined] epoch  25/100 | loss 0.137187 | train 0.026s | val AUPRC 0.612859 | val AUROC 0.837378 | thr 0.96 | best epoch 25
[stage2_refined] epoch  26/100 | loss 0.131804 | train 0.026s | val AUPRC 0.619567 | val AUROC 0.839497 | thr 0.97 | best epoch 26
[stage2_refined] epoch  27/100 | loss 0.127986 | train 0.026s | val AUPRC 0.627957 | val AUROC 0.841405 | thr 0.97 | best epoch 27
[stage2_refined] epoch  28/100 | loss 0.123852 | train 0.026s | val AUPRC 0.635559 | val AUROC 0.842920 | thr 0.96 | best epoch 28
[stage2_refined] epoch  29/100 | loss 0.118720 | train 0.026s | val AUPRC 0.642983 | val AUROC 0.844050 | thr 0.95 | best epoch 29
[stage2_refined] epoch  30/100 | loss 0.113634 | train 0.026s | val AUPRC 0.648811 | val AUROC 0.844747 | thr 0.94 | best epoch 30
[stage2_refined] epoch  31/100 | loss 0.109935 | train 0.026s | val AUPRC 0.652596 | val AUROC 0.845238 | thr 0.93 | best epoch 31
[stage2_refined] epoch  32/100 | loss 0.107071 | train 0.026s | val AUPRC 0.653901 | val AUROC 0.845677 | thr 0.91 | best epoch 32
[stage2_refined] epoch  33/100 | loss 0.103398 | train 0.026s | val AUPRC 0.652581 | val AUROC 0.846013 | thr 0.92 | best epoch 32
[stage2_refined] epoch  34/100 | loss 0.099214 | train 0.026s | val AUPRC 0.649905 | val AUROC 0.846266 | thr 0.93 | best epoch 32
[stage2_refined] epoch  35/100 | loss 0.095931 | train 0.026s | val AUPRC 0.648379 | val AUROC 0.846669 | thr 0.94 | best epoch 32
[stage2_refined] epoch  36/100 | loss 0.093398 | train 0.026s | val AUPRC 0.649369 | val AUROC 0.847287 | thr 0.93 | best epoch 32
[stage2_refined] epoch  37/100 | loss 0.090343 | train 0.026s | val AUPRC 0.652677 | val AUROC 0.848148 | thr 0.92 | best epoch 32
[stage2_refined] epoch  38/100 | loss 0.086656 | train 0.026s | val AUPRC 0.657959 | val AUROC 0.849220 | thr 0.92 | best epoch 38
[stage2_refined] epoch  39/100 | loss 0.083575 | train 0.026s | val AUPRC 0.662647 | val AUROC 0.850296 | thr 0.90 | best epoch 39
[stage2_refined] epoch  40/100 | loss 0.081146 | train 0.026s | val AUPRC 0.665804 | val AUROC 0.851252 | thr 0.89 | best epoch 40
[stage2_refined] epoch  41/100 | loss 0.077965 | train 0.026s | val AUPRC 0.667581 | val AUROC 0.852045 | thr 0.92 | best epoch 41
[stage2_refined] epoch  42/100 | loss 0.074729 | train 0.026s | val AUPRC 0.669680 | val AUROC 0.852609 | thr 0.92 | best epoch 42
[stage2_refined] epoch  43/100 | loss 0.072425 | train 0.026s | val AUPRC 0.672395 | val AUROC 0.852886 | thr 0.93 | best epoch 43
