==============================================================================
GHRN | fdcompcn | unified | TR40 | seed 2
==============================================================================
Run ID: ghrn_fdcompcn_unified_tr40_seed2_a6000_20260913T233929Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded fdcompcn: 5,317 nodes, 57 features, 4 relation(s)
[compatibility] NOTE fdcompcn is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 2,126 | valid 1,063 | test 2,128
Graph: 5,317 nodes, 12,585 stored directed edges (backend: dgl)
Training fraud/normal: 224/1,902 | fraud weight 8.4911
Parameters: 73,474 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch  46/100 | loss 0.681771 | train 0.011s | val AUPRC 0.153678 | val AUROC 0.594341 | thr 0.56 | best epoch 46
[stage1_unrefined] epoch  47/100 | loss 0.681499 | train 0.013s | val AUPRC 0.153053 | val AUROC 0.594036 | thr 0.56 | best epoch 46
[stage1_unrefined] epoch  48/100 | loss 0.681224 | train 0.014s | val AUPRC 0.153710 | val AUROC 0.594956 | thr 0.56 | best epoch 48
[stage1_unrefined] epoch  49/100 | loss 0.680939 | train 0.013s | val AUPRC 0.154313 | val AUROC 0.596637 | thr 0.56 | best epoch 49
[stage1_unrefined] epoch  50/100 | loss 0.680651 | train 0.012s | val AUPRC 0.154472 | val AUROC 0.596740 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  51/100 | loss 0.680359 | train 0.012s | val AUPRC 0.153563 | val AUROC 0.597022 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  52/100 | loss 0.680070 | train 0.012s | val AUPRC 0.152855 | val AUROC 0.597106 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  53/100 | loss 0.679778 | train 0.012s | val AUPRC 0.151852 | val AUROC 0.595778 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  54/100 | loss 0.679491 | train 0.012s | val AUPRC 0.151212 | val AUROC 0.594656 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  55/100 | loss 0.679214 | train 0.014s | val AUPRC 0.150496 | val AUROC 0.593727 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  56/100 | loss 0.678936 | train 0.012s | val AUPRC 0.149885 | val AUROC 0.591398 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  57/100 | loss 0.678656 | train 0.013s | val AUPRC 0.151208 | val AUROC 0.588896 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  58/100 | loss 0.678365 | train 0.011s | val AUPRC 0.152171 | val AUROC 0.586666 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  59/100 | loss 0.678079 | train 0.011s | val AUPRC 0.150383 | val AUROC 0.585014 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  60/100 | loss 0.677791 | train 0.012s | val AUPRC 0.149400 | val AUROC 0.584300 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  61/100 | loss 0.677495 | train 0.011s | val AUPRC 0.149237 | val AUROC 0.584657 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  62/100 | loss 0.677194 | train 0.012s | val AUPRC 0.152943 | val AUROC 0.583376 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  63/100 | loss 0.676869 | train 0.011s | val AUPRC 0.152882 | val AUROC 0.582732 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  64/100 | loss 0.676531 | train 0.011s | val AUPRC 0.152522 | val AUROC 0.582113 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  65/100 | loss 0.676227 | train 0.011s | val AUPRC 0.153309 | val AUROC 0.581362 | thr 0.58 | best epoch 50
[stage1_unrefined] epoch  66/100 | loss 0.675927 | train 0.010s | val AUPRC 0.154727 | val AUROC 0.582517 | thr 0.57 | best epoch 66
[stage1_unrefined] epoch  67/100 | loss 0.675622 | train 0.011s | val AUPRC 0.157066 | val AUROC 0.583484 | thr 0.57 | best epoch 67
[stage1_unrefined] epoch  68/100 | loss 0.675310 | train 0.011s | val AUPRC 0.160198 | val AUROC 0.584512 | thr 0.58 | best epoch 68
[stage1_unrefined] epoch  69/100 | loss 0.674979 | train 0.010s | val AUPRC 0.160897 | val AUROC 0.584432 | thr 0.57 | best epoch 69
[stage1_unrefined] epoch  70/100 | loss 0.674654 | train 0.011s | val AUPRC 0.163031 | val AUROC 0.585042 | thr 0.58 | best epoch 70
[stage1_unrefined] epoch  71/100 | loss 0.674343 | train 0.011s | val AUPRC 0.156631 | val AUROC 0.584760 | thr 0.58 | best epoch 70
[stage1_unrefined] epoch  72/100 | loss 0.674107 | train 0.011s | val AUPRC 0.165428 | val AUROC 0.585840 | thr 0.60 | best epoch 72
[stage1_unrefined] epoch  73/100 | loss 0.674002 | train 0.011s | val AUPRC 0.159711 | val AUROC 0.585540 | thr 0.58 | best epoch 72
[stage1_unrefined] epoch  74/100 | loss 0.673461 | train 0.010s | val AUPRC 0.160010 | val AUROC 0.586206 | thr 0.58 | best epoch 72
[stage1_unrefined] epoch  75/100 | loss 0.673155 | train 0.010s | val AUPRC 0.162394 | val AUROC 0.587774 | thr 0.59 | best epoch 72
[stage1_unrefined] epoch  76/100 | loss 0.672947 | train 0.011s | val AUPRC 0.162458 | val AUROC 0.588084 | thr 0.58 | best epoch 72
[stage1_unrefined] epoch  77/100 | loss 0.672463 | train 0.010s | val AUPRC 0.163196 | val AUROC 0.588347 | thr 0.57 | best epoch 72
[stage1_unrefined] epoch  78/100 | loss 0.672303 | train 0.011s | val AUPRC 0.165185 | val AUROC 0.590337 | thr 0.58 | best epoch 72
[stage1_unrefined] epoch  79/100 | loss 0.671816 | train 0.012s | val AUPRC 0.167275 | val AUROC 0.591530 | thr 0.58 | best epoch 79
[stage1_unrefined] epoch  80/100 | loss 0.671583 | train 0.011s | val AUPRC 0.164811 | val AUROC 0.591285 | thr 0.57 | best epoch 79
[stage1_unrefined] epoch  81/100 | loss 0.671220 | train 0.011s | val AUPRC 0.165232 | val AUROC 0.592206 | thr 0.57 | best epoch 79
[stage1_unrefined] epoch  82/100 | loss 0.670848 | train 0.011s | val AUPRC 0.168589 | val AUROC 0.593426 | thr 0.58 | best epoch 82
[stage1_unrefined] epoch  83/100 | loss 0.670557 | train 0.010s | val AUPRC 0.168338 | val AUROC 0.594271 | thr 0.57 | best epoch 82
[stage1_unrefined] epoch  84/100 | loss 0.670132 | train 0.012s | val AUPRC 0.169047 | val AUROC 0.595416 | thr 0.57 | best epoch 84
[stage1_unrefined] epoch  85/100 | loss 0.669838 | train 0.011s | val AUPRC 0.171260 | val AUROC 0.595999 | thr 0.58 | best epoch 85
[stage1_unrefined] epoch  86/100 | loss 0.669414 | train 0.011s | val AUPRC 0.172207 | val AUROC 0.596787 | thr 0.58 | best epoch 86
