run_id,ratio,train_seed,epoch,avg_train_loss,train_seconds,validation_seconds,val_auprc,val_auroc,best_val_auprc_so_far,best_epoch_so_far,patience_count,peak_gpu_memory_mb_so_far
trial07,TR40,2,28,0.05341689817367062,15.719164432957768,7.979496207903139,0.8621944911461457,0.9630894079265462,0.8621944911461457,28,0,158.6611328125
trial07,TR40,2,29,0.05289062376945249,16.477121911011636,8.661825123010203,0.8582897114056919,0.9599106905439888,0.8621944911461457,28,1,158.6611328125
trial07,TR40,2,30,0.05235420888470065,16.16141947801225,9.52404566097539,0.864166175122897,0.9601098444349949,0.864166175122897,30,0,158.6611328125
trial07,TR40,2,31,0.05353174286503946,16.459067964926362,8.989820200949907,0.8621084398907523,0.9591509553301509,0.864166175122897,30,1,158.81494140625
trial07,TR40,2,32,0.05166161060333252,18.953115565003827,9.018315808963962,0.8544880028139863,0.9570568890465729,0.864166175122897,30,2,158.81494140625
trial07,TR40,2,33,0.052077328005144675,17.94218361901585,8.732250210014172,0.8581854021429435,0.9575780083947054,0.864166175122897,30,3,158.81494140625
trial07,TR40,2,34,0.053116213890814015,15.672286626999266,7.9835660780081525,0.8652767671546667,0.9613678331798495,0.8652767671546667,34,0,158.81494140625
trial07,TR40,2,35,0.050094373764530305,16.59428913402371,9.959910699049942,0.8622642760108999,0.9560721836965985,0.8652767671546667,34,1,158.81494140625
trial07,TR40,2,36,0.0510065286390243,16.52008087700233,8.209652286022902,0.8641188319746502,0.959288887839848,0.8652767671546667,34,2,158.81494140625
trial07,TR40,2,37,0.05200134938763034,16.015543452929705,8.979646569001488,0.864143339266477,0.9564802647714099,0.8652767671546667,34,3,158.81494140625
trial07,TR40,2,38,0.052657485008239746,20.113918273011222,8.657950905966572,0.8683321543354149,0.9626125449986375,0.8683321543354149,38,0,158.81494140625
trial07,TR40,2,39,0.05095461876161637,15.861178955063224,7.842619145987555,0.8672380578790194,0.9630602724498991,0.8683321543354149,38,1,158.81494140625
trial07,TR40,2,40,0.05015496669277068,16.427188463974744,8.231300763087347,0.8668266947346702,0.9629946254265673,0.8683321543354149,38,2,158.81494140625
trial07,TR40,2,41,0.05146932601928711,15.883613705052994,7.7815064990427345,0.8701453994319304,0.963905570076169,0.8701453994319304,41,0,158.81494140625
