model,dataset,ratio,split_seed,train_seed,gpu,auprc,auroc,macro_f1,fraud_f1,fraud_precision,fraud_recall,gmean,accuracy,threshold,best_epoch,epochs,mean_epoch_s,peak_gpu_mb,params
CARE-GNN,Elliptic,TR40,2,42,NVIDIA RTX A6000,0.4528338589919455,0.8741842718441506,0.7049187983859447,0.47839149526230645,0.3556701030927835,0.7304163726182075,0.8067400522681963,0.8788187919463087,0.97,38.0,59.0,1.3990364356264393,276.470703125,11278.0
CARE-GNN,Elliptic,TR40,2,72,NVIDIA RTX A6000,0.49860825686232396,0.879603539834913,0.7511033191471912,0.5498878923766816,0.4560669456066946,0.6923076923076923,0.8032661841510442,0.9137718120805369,0.96,88.0,100.0,1.374827463349211,276.470703125,11278.0
CARE-GNN,FDCompCN,TR40,2,2,NVIDIA RTX A6000,0.12379143761097251,0.5251697797864953,0.5085346638655462,0.12053571428571429,0.12,0.1210762331838565,0.32938113452666024,0.8148496240601504,0.56,14.0,35.0,0.7971197390562987,30.05615234375,4276.0
CARE-GNN,FDCompCN,TR40,2,42,NVIDIA RTX A6000,0.1293551987764111,0.5606923013547074,0.5184797529169527,0.14919354838709678,0.13553113553113552,0.16591928251121077,0.38126690488657733,0.8016917293233082,0.52,9.0,30.0,0.6368801997625269,31.37158203125,4276.0
CARE-GNN,FDCompCN,TR40,2,72,NVIDIA RTX A6000,0.1487667009466308,0.572112566646658,0.5243425638746048,0.1407766990291262,0.15343915343915343,0.13004484304932734,0.3451411907225409,0.8336466165413534,0.56,12.0,33.0,0.6965168114525803,31.05126953125,4276.0
GHRN,YelpChi,TR40,2,2,NVIDIA RTX A6000,0.512613182253633,0.831475494483008,0.7066305130126642,0.4939687561795531,0.5234702430846605,0.46761512542119055,0.658615190908663,0.8607877271243608,0.77,99.0,200.0,0.01989746057835873,1106.84521484375,18754.0
GHRN,YelpChi,TR40,2,42,NVIDIA RTX A6000,0.5244553110058833,0.8374618402819306,0.7080515355576542,0.49464105156723964,0.5378188214599824,0.45788094346686636,0.6536441148948602,0.864051789794364,0.78,99.0,200.0,0.020121637216361704,1106.84521484375,18754.0
GHRN,YelpChi,TR40,2,72,NVIDIA RTX A6000,0.5372613245950429,0.8464104218081173,0.7210597175500962,0.5250640321990486,0.5134168157423972,0.5372519655559715,0.7005323161123608,0.8587748884778588,0.69,99.0,200.0,0.019942840753647034,1106.84521484375,18754.0
GHRN,Amazon,TR40,2,2,NVIDIA RTX A6000,0.8972696785142836,0.9823179426565175,0.9279823615336683,0.8690095846645367,0.9158249158249159,0.8267477203647416,0.9056146911588823,0.9762731481481481,0.87,94.0,179.0,0.016933048513064982,1184.193359375,18306.0
GHRN,Amazon,TR40,2,42,NVIDIA RTX A6000,0.8506007651996943,0.961140493184666,0.9171601723912153,0.849445324881141,0.8874172185430463,0.8145896656534954,0.8976260906491581,0.9725115740740741,0.82,54.0,175.0,0.017021468306359436,1184.193359375,18306.0
