=== Run: splitgnn_tfinance_unified_tr40_seed2_a6000_20260918T010905Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/tfinance/unified/tr40/seed_2
No existing split file at /workspace/splitgnn_vast/splits/tfinance_seed2_nested_splits.npz, generating now.
Split overlap checks: PASSED
train=15742 valid=7872 test=15743
epoch 58: loss=0.7789 val_auprc=0.8772 val_auc=0.9601 val_f1_macro=0.8266 (best_epoch=58, best_auprc=0.8772)
epoch 59: loss=0.7814 val_auprc=0.8777 val_auc=0.9602 val_f1_macro=0.8277 (best_epoch=59, best_auprc=0.8777)
epoch 60: loss=0.7779 val_auprc=0.8786 val_auc=0.9601 val_f1_macro=0.8378 (best_epoch=60, best_auprc=0.8786)
epoch 61: loss=0.7794 val_auprc=0.8784 val_auc=0.9600 val_f1_macro=0.8366 (best_epoch=60, best_auprc=0.8786)
epoch 62: loss=0.7723 val_auprc=0.8784 val_auc=0.9599 val_f1_macro=0.8316 (best_epoch=60, best_auprc=0.8786)
epoch 63: loss=0.7716 val_auprc=0.8781 val_auc=0.9598 val_f1_macro=0.8269 (best_epoch=60, best_auprc=0.8786)
epoch 64: loss=0.7693 val_auprc=0.8775 val_auc=0.9597 val_f1_macro=0.8184 (best_epoch=60, best_auprc=0.8786)
epoch 65: loss=0.7557 val_auprc=0.8767 val_auc=0.9596 val_f1_macro=0.8132 (best_epoch=60, best_auprc=0.8786)
epoch 66: loss=0.7677 val_auprc=0.8756 val_auc=0.9595 val_f1_macro=0.8096 (best_epoch=60, best_auprc=0.8786)
epoch 67: loss=0.7678 val_auprc=0.8752 val_auc=0.9595 val_f1_macro=0.8103 (best_epoch=60, best_auprc=0.8786)
epoch 68: loss=0.7695 val_auprc=0.8752 val_auc=0.9596 val_f1_macro=0.8128 (best_epoch=60, best_auprc=0.8786)
epoch 69: loss=0.7641 val_auprc=0.8757 val_auc=0.9596 val_f1_macro=0.8169 (best_epoch=60, best_auprc=0.8786)
epoch 70: loss=0.7650 val_auprc=0.8760 val_auc=0.9597 val_f1_macro=0.8211 (best_epoch=60, best_auprc=0.8786)
epoch 71: loss=0.7633 val_auprc=0.8774 val_auc=0.9600 val_f1_macro=0.8246 (best_epoch=60, best_auprc=0.8786)
epoch 72: loss=0.7558 val_auprc=0.8783 val_auc=0.9603 val_f1_macro=0.8245 (best_epoch=60, best_auprc=0.8786)
epoch 73: loss=0.7644 val_auprc=0.8792 val_auc=0.9606 val_f1_macro=0.8176 (best_epoch=73, best_auprc=0.8792)
epoch 74: loss=0.7707 val_auprc=0.8802 val_auc=0.9609 val_f1_macro=0.8244 (best_epoch=74, best_auprc=0.8802)
epoch 75: loss=0.7677 val_auprc=0.8808 val_auc=0.9611 val_f1_macro=0.8350 (best_epoch=75, best_auprc=0.8808)
epoch 76: loss=0.7610 val_auprc=0.8810 val_auc=0.9612 val_f1_macro=0.8379 (best_epoch=76, best_auprc=0.8810)
epoch 77: loss=0.7616 val_auprc=0.8811 val_auc=0.9612 val_f1_macro=0.8379 (best_epoch=77, best_auprc=0.8811)
epoch 78: loss=0.7660 val_auprc=0.8810 val_auc=0.9612 val_f1_macro=0.8358 (best_epoch=77, best_auprc=0.8811)
epoch 79: loss=0.7497 val_auprc=0.8808 val_auc=0.9612 val_f1_macro=0.8236 (best_epoch=77, best_auprc=0.8811)
epoch 80: loss=0.7619 val_auprc=0.8803 val_auc=0.9611 val_f1_macro=0.8124 (best_epoch=77, best_auprc=0.8811)
epoch 81: loss=0.7533 val_auprc=0.8792 val_auc=0.9609 val_f1_macro=0.8046 (best_epoch=77, best_auprc=0.8811)
epoch 82: loss=0.7580 val_auprc=0.8785 val_auc=0.9607 val_f1_macro=0.8050 (best_epoch=77, best_auprc=0.8811)
epoch 83: loss=0.7782 val_auprc=0.8787 val_auc=0.9608 val_f1_macro=0.8264 (best_epoch=77, best_auprc=0.8811)
epoch 84: loss=0.7629 val_auprc=0.8792 val_auc=0.9609 val_f1_macro=0.8394 (best_epoch=77, best_auprc=0.8811)
epoch 85: loss=0.7513 val_auprc=0.8798 val_auc=0.9612 val_f1_macro=0.8488 (best_epoch=77, best_auprc=0.8811)
epoch 86: loss=0.7599 val_auprc=0.8803 val_auc=0.9614 val_f1_macro=0.8439 (best_epoch=77, best_auprc=0.8811)
epoch 87: loss=0.7592 val_auprc=0.8809 val_auc=0.9615 val_f1_macro=0.8319 (best_epoch=77, best_auprc=0.8811)
epoch 88: loss=0.7488 val_auprc=0.8812 val_auc=0.9618 val_f1_macro=0.8132 (best_epoch=88, best_auprc=0.8812)
epoch 89: loss=0.7567 val_auprc=0.8810 val_auc=0.9618 val_f1_macro=0.8009 (best_epoch=88, best_auprc=0.8812)
epoch 90: loss=0.7581 val_auprc=0.8804 val_auc=0.9617 val_f1_macro=0.8117 (best_epoch=88, best_auprc=0.8812)
epoch 91: loss=0.7409 val_auprc=0.8799 val_auc=0.9616 val_f1_macro=0.8172 (best_epoch=88, best_auprc=0.8812)
epoch 92: loss=0.7590 val_auprc=0.8797 val_auc=0.9615 val_f1_macro=0.8261 (best_epoch=88, best_auprc=0.8812)
epoch 93: loss=0.7511 val_auprc=0.8794 val_auc=0.9615 val_f1_macro=0.8340 (best_epoch=88, best_auprc=0.8812)
epoch 94: loss=0.7573 val_auprc=0.8797 val_auc=0.9617 val_f1_macro=0.8387 (best_epoch=88, best_auprc=0.8812)
epoch 95: loss=0.7496 val_auprc=0.8803 val_auc=0.9619 val_f1_macro=0.8308 (best_epoch=88, best_auprc=0.8812)
epoch 96: loss=0.7515 val_auprc=0.8809 val_auc=0.9621 val_f1_macro=0.8224 (best_epoch=88, best_auprc=0.8812)
epoch 97: loss=0.7591 val_auprc=0.8815 val_auc=0.9624 val_f1_macro=0.8247 (best_epoch=97, best_auprc=0.8815)
epoch 98: loss=0.7643 val_auprc=0.8817 val_auc=0.9624 val_f1_macro=0.8299 (best_epoch=98, best_auprc=0.8817)
epoch 99: loss=0.7462 val_auprc=0.8816 val_auc=0.9625 val_f1_macro=0.8335 (best_epoch=98, best_auprc=0.8817)
Selected threshold (best val macro-F1): 0.95 (val F1=0.9263)
TEST metrics: {'auprc': 0.8402608820155505, 'auc': 0.9487971687283232, 'f1_macro': 0.9003685666584293, 'recall': 0.739612188365651, 'threshold_used': 0.9500000000000001, 'best_epoch': 98}
